title,authors,language,publisher,combined_features
mammoth book new jules verne adventures return center earth extraordinary voyages new tales heirs jules verne,mike ashley,en,running press,mammoth book new jules verne adventures return center earth extraordinary voyages new tales heirs jules verne mike ashley running press en
journey center earth,jules verne,en,bantam,journey center earth jules verne bantam en
20 000 leagues sea,pauline francis,en,evans brothers,20 000 leagues sea pauline francis evans brothers en
mysterious island,jules verne,en,modern library,mysterious island jules verne modern library en
lighthouse end world,jules verne,en,fredonia books,lighthouse end world jules verne fredonia books en
world jules verne,gonzague saint bris,en,helen marx books,world jules verne gonzague saint bris helen marx books en
end nana sahib steam house,jules verne,en,fredonia books,end nana sahib steam house jules verne fredonia books en
around world eighty days,jules verne,en,signet,around world eighty days jules verne signet en
around world eighty days,jules verne,en,modern library,around world eighty days jules verne modern library en
adrift pacific two years holiday,jules verne,en,fredonia books,adrift pacific two years holiday jules verne fredonia books en
final payments,mary gordon,en,anchor,final payments mary gordon anchor en
sliver truth,lisa unger,en,shaye areheart books,sliver truth lisa unger shaye areheart books en
mothman prophecies,john a. keel,en,hodder & stoughton,mothman prophecies john a. keel hodder & stoughton en
intimate communion awakening sexual essence,david deida,en,health communications,intimate communion awakening sexual essence david deida health communications en
letter man fire god exist care,reynolds price,en,scribner,letter man fire god exist care reynolds price scribner en
promise rest,reynolds price,en,scribner,promise rest reynolds price scribner en
perfect match,jodi picoult,en,atria books,perfect match jodi picoult atria books en
demon box,ken kesey,en,penguin books,demon box ken kesey penguin books en
sailor song,ken kesey,en,penguin books,sailor song ken kesey penguin books en
bus complete guide legendary trip ken kesey merry pranksters birth counterculture,paul perry,en,running press,bus complete guide legendary trip ken kesey merry pranksters birth counterculture paul perry running press en
inquiry,ken kesey,en,viking books,inquiry ken kesey viking books en
goodnight moon,margaret wise brown,en,harpercollins,goodnight moon margaret wise brown harpercollins en
goodnight moon 123 counting book,margaret wise brown,en,harpercollins publishers,goodnight moon 123 counting book margaret wise brown harpercollins publishers en
new rules polite musings timid observer,bill maher,en,rodale books,new rules polite musings timid observer bill maher rodale books en
true story,bill maher,en,simon schuster,true story bill maher simon schuster en
anybody problem best politically incorrect,bill maher,en,ballantine books,anybody problem best politically incorrect bill maher ballantine books en
outsiders,s.e. hinton,en,puffin group,outsiders s.e. hinton puffin group en
outsiders within writing transracial adoption,jane jeong trenka,en,south end press,outsiders within writing transracial adoption jane jeong trenka south end press en
outsiders vol 5 good fight,judd winick,en,dc comics,outsiders vol 5 good fight judd winick dc comics en
sister outsider essays speeches,audre lorde,en,crossing press,sister outsider essays speeches audre lorde crossing press en
caramelo,sandra cisneros,en,vintage,caramelo sandra cisneros vintage en
house mango street,sandra cisneros,en,random house audio,house mango street sandra cisneros random house audio en
selections homers iliad,homer,en,university of oklahoma press,selections homers iliad homer university of oklahoma press en
merchant venice,william shakespeare,en,penguin classics,merchant venice william shakespeare penguin classics en
nancy drew girl detective 14,carolyn keene,en,aladdin,nancy drew girl detective 14 carolyn keene aladdin en
nancys mysterious letter,carolyn keene,en,applewood books,nancys mysterious letter carolyn keene applewood books en
secret old clock,carolyn keene,en,applewood books,secret old clock carolyn keene applewood books en
mystery mosscovered mansion,carolyn keene,en,applewood books,mystery mosscovered mansion carolyn keene applewood books en
mystery brassbound trunk,carolyn keene,en,applewood books,mystery brassbound trunk carolyn keene applewood books en
mantle prophet religion politics iran,roy mottahedeh,en,one world,mantle prophet religion politics iran roy mottahedeh one world en
greatest generation,tom brokaw,en,random house trade paperbacks,greatest generation tom brokaw random house trade paperbacks en
maverick success story behind worlds unusual workplace,ricardo semler,en,random house,maverick success story behind worlds unusual workplace ricardo semler random house en
weekend warriors,fern michaels,en,kensington,weekend warriors fern michaels kensington en
weekend novelist,robert j. ray,en,billboard books,weekend novelist robert j. ray billboard books en
weekend book,francis meynell,en,harry n. abrams,weekend book francis meynell harry n. abrams en
north carolina weekends,lynn setzer,en,john f. blair publisher,north carolina weekends lynn setzer john f. blair publisher en
far madding crowd,thomas hardy,en,modern library,far madding crowd thomas hardy modern library en
selected poems,thomas hardy,en,penguin books,selected poems thomas hardy penguin books en
selected poetry,thomas hardy,en,oxford university press,selected poetry thomas hardy oxford university press en
underworld,greg cox,en,pocket star books,underworld greg cox pocket star books en
underworld mysterious origins civilization,graham hancock,en,three rivers press,underworld mysterious origins civilization graham hancock three rivers press en
dream underworld,james hillman,en,william morrow paperbacks,dream underworld james hillman william morrow paperbacks en
underworld,jude watson,en,scholastic paperbacks,underworld jude watson scholastic paperbacks en
star wars underworld yavin vassilika,mike kennedy,en,dark horse books,star wars underworld yavin vassilika mike kennedy dark horse books en
underworld blood enemy,greg cox,en,pocket star,underworld blood enemy greg cox pocket star en
queen underworld,gail godwin,en,ballantine books,queen underworld gail godwin ballantine books en
perro,p.d. eastman,es,random house para ninos,perro p.d. eastman random house para ninos es
murder cathedral,t.s. eliot,en,harcourt brace jovanovich/harvest,murder cathedral t.s. eliot harcourt brace jovanovich/harvest en
cathedral forge waterwheel technology invention middle ages,frances gies,en,harper perennial,cathedral forge waterwheel technology invention middle ages frances gies harper perennial en
lquilibre du monde,rohinton mistry,fr,le livre de poche,lquilibre du monde rohinton mistry le livre de poche fr
kitchen rosie oprahs favorite recipes,rosie daley,en,knopf,kitchen rosie oprahs favorite recipes rosie daley knopf en
king richard ii,william shakespeare,en,cambridge university press,king richard ii william shakespeare cambridge university press en
king richard ii,william shakespeare,en,bloomsbury arden shakespeare,king richard ii william shakespeare bloomsbury arden shakespeare en
floating mothers palm,ursula hegi,en,touchstone,floating mothers palm ursula hegi touchstone en
tearing silence german america,ursula hegi,en,touchstone,tearing silence german america ursula hegi touchstone en
paint black,janet fitch,en,little brown and,paint black janet fitch little brown and en
tempest,william shakespeare,en,w. w. norton &,tempest william shakespeare w. w. norton & en
day tempest,jean rabe,en,wizards of the coast,day tempest jean rabe wizards of the coast en
tempest,aimé césaire,en,theatre communications group,tempest aimé césaire theatre communications group en
midsummer nights dream,william shakespeare,en,arden shakespeare,midsummer nights dream william shakespeare arden shakespeare en
midsummer nights dream,sparknotes,en,sparknotes,midsummer nights dream sparknotes sparknotes en
midsummer nights dream,william shakespeare,en,cambridge university press,midsummer nights dream william shakespeare cambridge university press en
minuit dans le jardin du bien et du mal,john berendt,fr,pocket,minuit dans le jardin du bien et du mal john berendt pocket fr
les essais,michel de montaigne,fr,arléa,les essais michel de montaigne arléa fr
cliffs notes hugos les miserables,amy l. marsland,en,cliffs notes,cliffs notes hugos les miserables amy l. marsland cliffs notes en
les misrables,victor hugo,en,penguin classics,les misrables victor hugo penguin classics en
hamlet purgatory,stephen greenblatt,en,princeton university press,hamlet purgatory stephen greenblatt princeton university press en
hinton hamlet building bridges young adult literature classics,sarah k. herz,en,greenwood,hinton hamlet building bridges young adult literature classics sarah k. herz greenwood en
hamlet,william shakespeare,en,yale university press,hamlet william shakespeare yale university press en
hamlet prince denmark,william shakespeare,en,cambridge university press/the new cambridge shakespeare,hamlet prince denmark william shakespeare cambridge university press/the new cambridge shakespeare en
romeo juliet,william shakespeare,en,oxford university press,romeo juliet william shakespeare oxford university press en
